IATA_CODE,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355
DHN,Dothan Regional Airport,Dothan,AL,31.32134,-85.44963
HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311
MGM,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398
MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.7294,-92.22425
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.45371,-93.99102
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67122
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806
TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103
YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862
BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.78016,-124.23653
CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814
LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,33.81772,-118.15161
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83777
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295
OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072
ONT,Ontario International Airport,Ontario,CA,34.056,-117.60119
PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625
RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,35.23706,-120.64239
SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37484
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901
SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025
DEN,Denver International Airport,Denver,CO,39.85841,-104.667
DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75377
EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.12241,-108.52673
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766
MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383
PUB,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49657
BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323
ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806
EYW,Key West International Airport,Key West,FL,24.55611,-81.75956
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275
GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178
JAX,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786
MCO,Orlando International Airport,Orlando,FL,28.42889,-81.31603
MIA,Miami International Airport,Miami,FL,25.79325,-80.29056
MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581
PBI,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744
RSW,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411
TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033
TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694
BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631
CSG,Columbus Metropolitan Airport,Columbus,GA,32.51633,-84.93886
SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214
VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672
GUM,Guam International Airport,Agana,GU,13.48345,-144.79598
ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087
DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917
DSM,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068
SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437
BOI,Boise Airport (Boise Air Terminal),Boise,ID,43.56444,-116.22278
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.51456,-112.07017
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539
PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586
SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,42.4818,-114.48774
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806
MDW,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242
MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331
SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762
EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515
IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,41.70895,-86.31847
GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72441
HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305
MHK,Manhattan Regional Airport,Manhattan,KS,39.14097,-96.67083
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217
LEX,Blue Grass Airport,Lexington,KY,38.03697,-84.60539
PAH,Barkley Regional Airport,Paducah,KY,37.06083,-88.77375
SDF,Louisville International Airport (Standiford Field),Louisville,KY,38.17439,-85.736
AEX,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963
LCH,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234
LFT,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98766
MLU,Monroe Regional Airport,Monroe,LA,32.51087,-92.03769
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803
SHV,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518
HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934,-70.28036
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,41.39303,-70.61433
ORH,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571
BWI,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682
BGR,Bangor International Airport,Bangor,ME,44.80744,-68.82814
PWM,Portland International Jetport,Portland,ME,43.64617,-70.30875
APN,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239
CMX,Houghton County Memorial Airport,Hancock,MI,47.16842,-88.48906
DTW,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884
ESC,Delta County Airport,Escanaba,MI,45.72267,-87.09373
FNT,Bishop International Airport,Flint,MI,42.9655,-83.74346
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277
IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,42.7787,-84.58736
MBS,MBS International Airport,Saginaw,MI,43.53291,-84.07965
MKG,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822
MQT,Sawyer International Airport,Marquette,MI,46.35364,-87.39536
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672
TVC,Cherry Capital Airport,Traverse City,MI,44.74144,-85.58224
BJI,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.39786,-94.13723
DLH,Duluth International Airport,Duluth,MN,46.84209,-92.19365
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899
INL,Falls International Airport,International Falls,MN,48.56619,-93.40307
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692
RST,Rochester International Airport,Rochester,MN,43.90883,-92.49799
STC,St. Cloud Regional Airport,St Cloud,MN,45.54532,-94.05834
COU,Columbia Regional Airport,Columbia,MO,38.81809,-92.21963
JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49827
MCI,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391
SGF,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686
STL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137
JAN,Jackson-Evers International Airport,Jackson,MS,32.31117,-90.07589
MEI,Meridian Regional Airport,Meridian,MS,32.33313,-88.75121
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706
BIL,Billings Logan International Airport,Billings,MT,45.80766,-108.54286
BTM,Bert Mooney Airport,Butte,MT,45.9548,-112.49746
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301
FCA,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25507
GTF,Great Falls International Airport,Great Falls,MT,47.482,-111.37069
HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275
MSO,Missoula International Airport,Missoula,MT,46.91631,-114.09056
WYS,Westerly State Airport,West Yellowstone,MT,44.6884,-111.11764
AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,35.07297,-77.04294
FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88
GSO,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373
ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256
OAJ,Albert J. Ellis Airport,Jacksonville,NC,34.82916,-77.61214
RDU,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747
BIS,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195
DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878
FAR,Hector International Airport,Fargo,ND,46.91935,-96.81499
GFK,Grand Forks International Airport,Grand Forks,ND,47.94926,-97.17611
ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235
JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782
MOT,Minot International Airport,Minot,ND,48.25938,-101.28033
GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,40.85097,-96.75925
OMA,Eppley Airfield,Omaha,NE,41.30252,-95.89417
MHT,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706
ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717
EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866
TTN,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919
HOB,Lea County Regional Airport,Hobbs,NM,32.68753,-103.21703
ROW,Roswell International Air Center,Roswell,NM,33.30156,-104.53056
SAF,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814
EKO,Elko Regional Airport,Elko,NV,40.82493,-115.7917
LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233
RNO,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806
ALB,Albany International Airport,Albany,NY,42.74812,-73.80298
BGM,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961
BUF,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217
ELM,Elmira/Corning Regional Airport,Elmira,NY,42.15991,-76.89144
HPN,Westchester County Airport,White Plains,NY,41.06696,-73.70757
IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538
ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261
ROC,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238
SWF,Stewart International Airport,Newburgh,NY,41.50409,-74.10484
SYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631
CAK,Akron-Canton Regional Airport,Akron,OH,40.91631,-81.44247
CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494
CMH,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188
DAY,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938
